Finess,Année,Département,Commune,Nom,Catégorie,ivg_2018,medic_2018,tard_2018,% médic.,cat_medic,% tard.,cat_tard,évol_13_18,cat_evol,ivg_2013,ivg_2014,ivg_2015,ivg_2016,ivg_2017,ivg_2018,lat,lon
050000348,2018,HAUTES-ALPES,GAP,CHI DES ALPES DU SUD SITE DE GAP,Centres Hospitaliers,160,33,17,"0,20625",moins que la moyenne,"0,10625",plus que la moyenne,"-0,341563786",en baisse,243,204,136,122,136,160,44.5563943446239,6.07326807225251
060000510,2018,ALPES-MARITIMES,ANTIBES,CH D'ANTIBES JUAN LES PINS,Centres Hospitaliers,421,325,18,"0,7719714964",plus que la moyenne,"0,04275534442",moins que la moyenne,"0,3536977492",en hausse,311,295,354,192,385,421,43.6004688197138,7.12288127066689
060000478,2018,ALPES-MARITIMES,GRASSE,CENTRE HOSPITALIER DE GRASSE,Centres Hospitaliers,285,204,18,"0,7157894737",plus que la moyenne,"0,06315789474",moins que la moyenne,"-0,2980295567",en baisse,406,384,379,418,307,285,43.619315800513,6.93076981166532
060780590,2018,ALPES-MARITIMES,GRASSE,CLINIQUE DU PALAIS,Etablissements de Soins de Courte Durée,34,0,2,0,aucune,"0,05882352941",moins que la moyenne,"-0,7258064516",en forte baisse,124,41,30,47,38,34,43.6573882483459,6.92959156170774
060780699,2018,ALPES-MARITIMES,NICE,CLINIQUE MOZART,Etablissements de Soins de Courte Durée,68,1,0,"0,01470588235",moins que la moyenne,0,pas d'IVG tardives,"-0,3333333333",en baisse,102,103,96,90,87,68,43.7012762267394,7.26157070938568
060000544,2018,ALPES-MARITIMES,CANNES,CH PIERRE NOUVEAU CANNES,Centres Hospitaliers,450,290,47,"0,6444444444",plus que la moyenne,"0,1044444444",plus que la moyenne,"0,1306532663",en hausse,398,432,417,401,352,450,43.5618301555001,7.00508502173873
060002102,2018,ALPES-MARITIMES,MENTON,CH LA PALMOSA DE MENTON,Centres Hospitaliers,198,162,4,"0,8181818182",plus que la moyenne,"0,0202020202",moins que la moyenne,1,en hausse,99,120,160,136,160,198,43.7757218571497,7.47349942842721
060021417,2018,ALPES-MARITIMES,CANNES,HOPITAL PRIVE CANNES OXFORD,Etablissements de Soins de Courte Durée,54,0,1,0,aucune,"0,01851851852",moins que la moyenne,"-0,5423728814",en forte baisse,118,109,100,91,82,54,43.5647249795324,7.02776022667177
060780517,2018,ALPES-MARITIMES,CAGNES SUR MER,POLYCLINIQUE SAINT JEAN,Etablissements de Soins de Courte Durée,238,125,1,"0,525210084",moins que la moyenne,"0,004201680672",moins que la moyenne,"-0,2743902439",en baisse,328,322,277,297,264,238,43.660713127504,7.13646554852663
060780756,2018,ALPES-MARITIMES,NICE,POLYCLINIQUE SANTA MARIA,Etablissements de Soins de Courte Durée,130,0,11,0,aucune,"0,08461538462",plus que la moyenne,"-0,2777777778",en baisse,180,182,179,166,123,130,43.6893792186242,7.24116100625842
060781200,2018,ALPES-MARITIMES,NICE,CLINIQUE SAINT ANTOINE,Etablissements de Soins de Courte Durée,197,107,4,"0,5431472081",moins que la moyenne,"0,02030456853",moins que la moyenne,"0,1520467836",en hausse,171,123,79,144,185,197,43.7019530678125,7.26248810120949
060789195,2018,ALPES-MARITIMES,NICE,CHU DE NICE HOPITAL DE L'ARCHET,Centres Hospitaliers Régionaux,838,287,123,"0,3424821002",moins que la moyenne,"0,146778043",plus que la moyenne,"-0,3247381144",en baisse,1241,1176,1044,1013,955,838,43.7015722949167,7.2036374808146
070000013,2018,ARDÈCHE,PRIVAS,CH DES VALS D'ARDÈCHE,Centres Hospitaliers,108,84,4,"0,7777777778",plus que la moyenne,"0,03703703704",moins que la moyenne,"-0,02702702703",stable,111,81,91,92,90,108,44.7317696185637,4.58728528220353
070000179,2018,ARDÈCHE,ANNONAY,CH D'ARDÈCHE NORD,Centres Hospitaliers,144,115,3,"0,7986111111",plus que la moyenne,"0,02083333333",moins que la moyenne,"0,2743362832",en hausse,113,115,109,64,104,144,45.2421802541826,4.66560769102612
070000609,2018,ARDÈCHE,AUBENAS,CENTRE HOSPITALIER D'AUBENAS,Centres Hospitaliers,253,187,11,"0,7391304348",plus que la moyenne,"0,04347826087",moins que la moyenne,"-0,1028368794",en baisse,282,270,270,285,277,253,44.6129297133073,4.39826726100578
080000110,2018,ARDENNES,SEDAN,CENTRE HOSPITALIER DE SEDAN,Centres Hospitaliers,106,84,3,"0,7924528302",plus que la moyenne,"0,02830188679",moins que la moyenne,"-0,4078212291",en baisse,179,156,182,146,167,106,49.7056533414429,4.93964436382903
080000219,2018,ARDENNES,RETHEL,CENTRE HOSPITALIER DE RETHEL,Centres Hospitaliers,38,0,3,0,aucune,"0,07894736842",plus que la moyenne,,nouvel établissement,,,,,42,38,49.5106479545669,4.36330584808767
080000425,2018,ARDENNES,CHARLEVILLE MEZIERES,HOPITAL MANCHESTER - CH CHARLEVILLE,Centres Hospitaliers,188,95,23,"0,5053191489",moins que la moyenne,"0,1223404255",plus que la moyenne,"-0,4689265537",en baisse,354,320,331,309,236,188,49.7616857412433,4.69511813853849
090000183,2018,ARIÈGE,ST LIZIER,CH ARIEGE COUSERANS SITE ST LIZIER,Centres Hospitaliers,93,74,1,"0,7956989247",plus que la moyenne,"0,01075268817",moins que la moyenne,"1,02173913",en hausse,46,88,88,94,113,93,43.0025472996107,1.13551389921056
090000175,2018,ARIÈGE,FOIX,CHIVA SITE FOIX,Centres Hospitaliers,339,255,15,"0,7522123894",plus que la moyenne,"0,04424778761",moins que la moyenne,"-0,1439393939",en baisse,396,391,362,388,359,339,42.964110938725,1.6052418748859
100000090,2018,AUBE,TROYES,CENTRE HOSPITALIER DE TROYES,Centres Hospitaliers,709,523,42,"0,7376586742",plus que la moyenne,"0,05923836389",moins que la moyenne,"0,09752321981",en hausse,646,679,683,706,681,709,48.2800616420426,4.06858209001884
100002351,2018,AUBE,TROYES,CLINIQUE DE CHAMPAGNE,Etablissements de Soins de Courte Durée,24,2,0,"0,08333333333",moins que la moyenne,0,pas d'IVG tardives,"-0,8",en forte baisse,120,95,131,129,87,24,48.3061693471204,4.0528658561029
100000199,2018,AUBE,ROMILLY SUR SEINE,CENTRE HOSPITALIER DE ROMILLY/SEINE,Centres Hospitaliers,80,65,1,"0,8125",plus que la moyenne,"0,0125",moins que la moyenne,"0,6666666667",en hausse,48,59,43,31,72,80,48.5177216331884,3.72629270245657
100010818,2018,AUBE,TROYES,GCS ES CLINIQUE DE CHAMPAGNE,Etablissements de Soins de Courte Durée,37,22,0,"0,5945945946",plus que la moyenne,0,pas d'IVG tardives,,nouvel établissement,,,,,,37,48.306568,4.053350
110780228,2018,AUDE,NARBONNE,POLYCLINIQUE LE LANGUEDOC,Etablissements de Soins de Courte Durée,182,127,3,"0,6978021978",plus que la moyenne,"0,01648351648",moins que la moyenne,"-0,1078431373",en baisse,204,198,182,180,174,182,43.1872940433082,3.02576149398865
110780483,2018,AUDE,CARCASSONNE,POLYCLINIQUE MONTREAL,Etablissements de Soins de Courte Durée,39,36,1,"0,9230769231",plus que la moyenne,"0,02564102564",moins que la moyenne,"-0,1875",en baisse,48,59,65,71,58,39,43.2232586760738,2.2955788584865
110000023,2018,AUDE,CARCASSONNE,CH CARCASSONNE,Centres Hospitaliers,562,380,39,"0,6761565836",plus que la moyenne,"0,06939501779",plus que la moyenne,"-0,07868852459",en baisse,610,585,622,541,555,562,43.2191070261999,2.39991654241787
110000056,2018,AUDE,NARBONNE,CH NARBONNE HOTEL DIEU,Centres Hospitaliers,415,349,26,"0,8409638554",plus que la moyenne,"0,06265060241",moins que la moyenne,"-0,1354166667",en baisse,480,510,447,443,467,415,43.180618452757,3.00011307837999
120000054,2018,AVEYRON,VILLEFRANCHE DE ROUERGUE,CH VILLEFRANCHE ROUERG SITE CHARTREUSE,Centres Hospitaliers,126,92,4,"0,7301587302",plus que la moyenne,"0,03174603175",moins que la moyenne,"0,1150442478",en hausse,113,140,130,124,129,126,44.3423354510431,2.0321179371098
120000039,2018,AVEYRON,RODEZ,CH DE RODEZ HOPITAL JACQUES PUEL,Centres Hospitaliers,301,226,12,"0,7508305648",plus que la moyenne,"0,03986710963",moins que la moyenne,"0,02033898305",stable,295,307,285,277,295,301,44.3595617852544,2.554847407305
120004569,2018,AVEYRON,MILLAU,CH MILLAU,Centres Hospitaliers,119,110,0,"0,9243697479",plus que la moyenne,0,pas d'IVG tardives,"0,09174311927",en hausse,109,75,78,77,100,119,44.0929498377714,3.05190732983615
120000070,2018,AVEYRON,DECAZEVILLE,CH PIERRE DELPECH DECAZEVILLE,Centres Hospitaliers,84,73,1,"0,869047619",plus que la moyenne,"0,0119047619",moins que la moyenne,"-0,305785124",en baisse,121,66,113,72,78,84,44.5691231022663,2.25186148563113
120004668,2018,AVEYRON,ST AFFRIQUE,CH EMILE BOREL ST AFFRIQUE,Centres Hospitaliers,35,33,0,"0,9428571429",plus que la moyenne,0,pas d'IVG tardives,"0,6666666667",en hausse,21,20,4,19,27,35,43.958138864729,2.8745294731334
130000565,2018,BOUCHES-DU-RHÔNE,AUBAGNE,CH EDMOND GARCIN D'AUBAGNE,Centres Hospitaliers,377,295,18,"0,7824933687",plus que la moyenne,"0,04774535809",moins que la moyenne,"0,1088235294",en hausse,340,362,362,347,353,377,43.2915127980706,5.56335864427781
130000409,2018,BOUCHES-DU-RHÔNE,AIX EN PROVENCE,CHI SITE D'AIX EN PROVENCE,Centres Hospitaliers,898,566,38,"0,6302895323",plus que la moyenne,"0,04231625835",moins que la moyenne,"0,02277904328",stable,878,1001,989,914,954,898,43.5357309668568,5.44142180485349
130002215,2018,BOUCHES-DU-RHÔNE,LA CIOTAT,CENTRE HOSPITALIER DE LA CIOTAT,Centres Hospitaliers,541,430,32,"0,7948243993",plus que la moyenne,"0,05914972274",moins que la moyenne,"-0,03565062389",stable,561,523,519,440,491,541,43.1791339026661,5.60721984698786
130001225,2018,BOUCHES-DU-RHÔNE,SALON DE PROVENCE,CH SALON DE PROVENCE,Centres Hospitaliers,341,210,28,"0,6158357771",plus que la moyenne,"0,08211143695",plus que la moyenne,"0,364",en hausse,250,301,270,249,359,341,43.6393632608273,5.10253167868822
130780521,2018,BOUCHES-DU-RHÔNE,MARSEILLE,APHM HOPITAL NORD,Centres Hospitaliers Régionaux,596,278,102,"0,466442953",moins que la moyenne,"0,1711409396",plus que la moyenne,"-0,2614622057",en baisse,807,749,676,782,614,596,43.3810227724774,5.36292836728613
130781289,2018,BOUCHES-DU-RHÔNE,AIX EN PROVENCE,POLYCLINIQUE DU PARC RAMBOT PROVENCALE,Etablissements de Soins de Courte Durée,12,11,1,"0,9166666667",plus que la moyenne,"0,08333333333",plus que la moyenne,,nouvel établissement,,,,3,7,12,43.5188061959489,5.46293160910858
130781370,2018,BOUCHES-DU-RHÔNE,ARLES,CLINIQUE JEANNE D'ARC,Etablissements de Soins de Courte Durée,14,10,0,"0,7142857143",plus que la moyenne,0,pas d'IVG tardives,"-0,5333333333",en forte baisse,30,48,20,27,11,14,43.6771199865271,4.63958782513097
130781479,2018,BOUCHES-DU-RHÔNE,AUBAGNE,HOPITAL PRIVE LA CASAMANCE,Etablissements de Soins de Courte Durée,11,0,3,0,aucune,"0,2727272727",plus que la moyenne,"-0,6206896552",en forte baisse,29,29,15,24,10,11,43.2763010657705,5.53127185841913
130002827,2018,BOUCHES-DU-RHÔNE,ARLES,CH JOSEPH IMBERT D'ARLES,Centres Hospitaliers,203,154,3,"0,7586206897",plus que la moyenne,"0,01477832512",moins que la moyenne,"-0,2902097902",en baisse,286,247,279,192,154,203,43.6580018755837,4.62810881398511
130002835,2018,BOUCHES-DU-RHÔNE,MARTIGUES,CH DE MARTIGUES HOPITAL DES RAYETTES,Centres Hospitaliers,720,431,13,"0,5986111111",plus que la moyenne,"0,01805555556",moins que la moyenne,"0,04956268222",stable,686,659,637,689,700,720,43.4158005653903,5.03621176261448
130008253,2018,BOUCHES-DU-RHÔNE,VITROLLES,CLINIQUE DE VITROLLES,Etablissements de Soins de Courte Durée,249,243,6,"0,9759036145",plus de 95%,"0,02409638554",moins que la moyenne,"-0,2314814815",en baisse,324,254,263,288,260,249,43.4480480927669,5.24988126970028
130784713,2018,BOUCHES-DU-RHÔNE,MARSEILLE,HOPITAL PRIVE BEAUREGARD VERT COTEAU,Etablissements de Soins de Courte Durée,123,98,1,"0,7967479675",plus que la moyenne,"0,008130081301",moins que la moyenne,"-0,1214285714",en baisse,140,107,143,176,132,123,43.3134134402685,5.41204666602138
130783236,2018,BOUCHES-DU-RHÔNE,MARSEILLE,APHM HOPITAL DE LA CONCEPTION,Centres Hospitaliers Régionaux,2323,1083,207,"0,4662074903",moins que la moyenne,"0,08910891089",plus que la moyenne,"-0,02394957983",stable,2380,2380,2228,2392,2523,2323,43.2894797567337,5.396488192787
130783327,2018,BOUCHES-DU-RHÔNE,MARSEILLE,CLINIQUE BOUCHARD,Etablissements de Soins de Courte Durée,154,116,4,"0,7532467532",plus que la moyenne,"0,02597402597",moins que la moyenne,"-0,647597254",en forte baisse,437,330,270,223,144,154,43.2828286693787,5.37952142132266
130783665,2018,BOUCHES-DU-RHÔNE,MARSEILLE,CLINIQUE DE BONNEVEINE,Etablissements de Soins de Courte Durée,201,178,0,"0,8855721393",plus que la moyenne,0,pas d'IVG tardives,"-0,6066536204",en forte baisse,511,457,304,210,257,201,43.2499446807635,5.38183788555425
140000027,2018,CALVADOS,LISIEUX,CENTRE HOSPITALIER DE LISIEUX,Centres Hospitaliers,292,178,18,"0,6095890411",plus que la moyenne,"0,06164383562",moins que la moyenne,"0,1450980392",en hausse,255,291,278,259,256,292,49.1459862598492,0.232418354300757
140016759,2018,CALVADOS,CAEN,POLYCLINIQUE DU PARC - CAEN,Etablissements de Soins de Courte Durée,27,0,1,0,aucune,"0,03703703704",moins que la moyenne,"3,5",en hausse,6,26,23,28,37,27,49.1678948552722,-0.346725526945336
140024886,2018,CALVADOS,BAYEUX,CENTRE HOSPITALIER - AUNAY-BAYEUX,Centres Hospitaliers,130,67,2,"0,5153846154",moins que la moyenne,"0,01538461538",moins que la moyenne,"-0,1823899371",en baisse,159,130,129,103,112,130,49.2743463177293,-0.701367473812729
140026410,2018,CALVADOS,CRICQUEBOEUF,CH COTE FLEURIE - SITE DE CRICQUEBOEUF,Centres Hospitaliers,61,61,0,1,plus de 95%,0,pas d'IVG tardives,"-0,7162790698",en forte baisse,215,197,105,61,71,61,49.3847518624285,0.131561887856784
140026709,2018,CALVADOS,CRICQUEBOEUF,POLYCLINIQUE DE DEAUVILLE-CRICQUEBOEUF,Etablissements de Soins de Courte Durée,39,32,0,"0,8205128205",plus que la moyenne,0,pas d'IVG tardives,"0,3928571429",en hausse,28,33,48,32,20,39,49.3847518624285,0.131561887856784
140000209,2018,CALVADOS,CAEN,CHU COTE DE NACRE - CAEN,Centres Hospitaliers Régionaux,872,519,64,"0,5951834862",plus que la moyenne,"0,07339449541",plus que la moyenne,"-0,2310405644",en baisse,1134,968,923,891,871,872,49.2085510351746,-0.362545799191272
140000233,2018,CALVADOS,FALAISE,CENTRE HOSPITALIER DE FALAISE,Centres Hospitaliers,29,29,0,1,plus de 95%,0,pas d'IVG tardives,"-0,6847826087",en forte baisse,92,96,64,31,33,29,48.8923163997709,-0.203079201859693
150000040,2018,CANTAL,AURILLAC,CENTRE HOSPITALIER HENRI MONDOR,Centres Hospitaliers,209,140,13,"0,6698564593",plus que la moyenne,"0,06220095694",moins que la moyenne,"-0,1106382979",en baisse,235,219,239,235,250,209,44.9255173873602,2.43906780481636
150780732,2018,CANTAL,AURILLAC,CENTRE MEDICO CHIRURGICAL TRONQUIERES,Etablissements de Soins de Courte Durée,5,4,0,"0,8",plus que la moyenne,0,pas d'IVG tardives,"-0,7368421053",en forte baisse,19,22,11,10,6,5,44.9100903446809,2.42549739661406
150000032,2018,CANTAL,ST FLOUR,CENTRE HOSPITALIER DE SAINT FLOUR,Centres Hospitaliers,83,61,0,"0,734939759",plus que la moyenne,0,pas d'IVG tardives,"0,02469135802",stable,81,70,57,54,50,83,45.034044883747,3.07936867131891
160015368,2018,CHARENTE,COGNAC,CHI DU PAYS DE COGNAC,Centres Hospitaliers,164,96,4,"0,5853658537",moins que la moyenne,"0,0243902439",moins que la moyenne,"0,5327102804",en hausse,107,172,157,169,163,164,45.6942065364292,-0.326265034549217
160000253,2018,CHARENTE,ANGOULEME,CENTRE HOSPITALIER D'ANGOULEME,Centres Hospitaliers,462,334,26,"0,7229437229",plus que la moyenne,"0,05627705628",moins que la moyenne,"-0,07414829659",en baisse,499,468,473,463,496,462,45.6483686522066,0.15622464934174
160013207,2018,CHARENTE,SOYAUX,CENTRE CLINICAL SA,Etablissements de Soins de Courte Durée,96,11,5,"0,1145833333",moins que la moyenne,"0,05208333333",moins que la moyenne,"-0,421686747",en baisse,166,141,115,86,93,96,45.6376566093088,0.201497676566871
170000038,2018,CHARENTE-MARITIME,JONZAC,CENTRE HOSPITALIER JONZAC,Centres Hospitaliers,17,16,0,"0,9411764706",plus que la moyenne,0,pas d'IVG tardives,"-0,7166666667",en forte baisse,60,31,34,7,,17,45.4370148481756,-0.433273950989947
170000095,2018,CHARENTE-MARITIME,ST JEAN D'ANGELY,CENTRE HOSPITALIER ST-JEAN D'ANGELY,Centres Hospitaliers,60,46,2,"0,7666666667",plus que la moyenne,"0,03333333333",moins que la moyenne,"-0,4545454545",en baisse,110,80,99,87,72,60,45.9461984710253,-0.530104305512096
170000087,2018,CHARENTE-MARITIME,LA ROCHELLE,HOPITAL SAINT-LOUIS - LA ROCHELLE,Centres Hospitaliers,680,527,38,"0,775",plus que la moyenne,"0,05588235294",moins que la moyenne,"0,008902077151",stable,674,651,632,601,646,680,46.158245016693,-1.14398897916685
170780613,2018,CHARENTE-MARITIME,LA ROCHELLE,CLINIQUE DU MAIL - LA ROCHELLE,Etablissements de Soins de Courte Durée,11,8,1,"0,7272727273",plus que la moyenne,"0,09090909091",plus que la moyenne,"-0,8358208955",en forte baisse,67,37,29,24,5,11,46.1558816560143,-1.16954904248203
170780621,2018,CHARENTE-MARITIME,ST GEORGES DE DIDONNE,POLYCLINIQUE SAINT GEORGES,Etablissements de Soins de Courte Durée,46,0,0,0,aucune,0,pas d'IVG tardives,,nouvel établissement,,,64,46,51,46,45.6027108186218,-0.997854817384752
170000103,2018,CHARENTE-MARITIME,SAINTES,CTRE HOSP. DE SAINTONGE - SAINTES,Centres Hospitaliers,323,239,18,"0,7399380805",plus que la moyenne,"0,05572755418",moins que la moyenne,"-0,05555555556",en baisse,342,410,369,359,332,323,45.7460873126875,-0.658553079289532
170000152,2018,CHARENTE-MARITIME,ROCHEFORT,CENTRE HOSPITALIER ROCHEFORT,Centres Hospitaliers,266,187,11,"0,7030075188",plus que la moyenne,"0,04135338346",moins que la moyenne,"0,01526717557",stable,262,253,262,243,248,266,45.9667551967008,-0.962757930143857
180000010,2018,CHER,BOURGES,CH  BOURGES - JACQUES COEUR,Centres Hospitaliers,492,385,42,"0,7825203252",plus que la moyenne,"0,08536585366",plus que la moyenne,"-0,102189781",en baisse,548,492,485,476,455,492,47.083626486092,2.4379148744561
180000200,2018,CHER,VIERZON,CH DE VIERZON,Centres Hospitaliers,152,120,4,"0,7894736842",plus que la moyenne,"0,02631578947",moins que la moyenne,"0,05555555556",en hausse,144,144,145,121,146,152,47.2276522838558,2.05212287127345
180000283,2018,CHER,ST AMAND MONTROND,CH SAINT AMAND-MONTROND,Centres Hospitaliers,85,69,3,"0,8117647059",plus que la moyenne,"0,03529411765",moins que la moyenne,"0,0119047619",stable,84,74,99,95,89,85,46.7256109250311,2.49506309052136
180004145,2018,CHER,ST DOULCHARD,HOPITAL PRIVE GUILLAUME DE VARYE,Etablissements de Soins de Courte Durée,46,23,2,"0,5",moins que la moyenne,"0,04347826087",moins que la moyenne,,nouvel établissement,,2,22,28,33,46,47.1064480844613,2.35654505029452
190000091,2018,CORRÈZE,USSEL,CENTRE HOSPITALIER D'USSEL,Centres Hospitaliers,83,68,0,"0,8192771084",plus que la moyenne,0,pas d'IVG tardives,"-0,04597701149",stable,87,71,77,64,56,83,45.544451630438,2.31320276445033
190000018,2018,CORRÈZE,BRIVE LA GAILLARDE,CENTRE HOSPITALIER DUBOIS BRIVE,Centres Hospitaliers,437,344,6,"0,7871853547",plus que la moyenne,"0,01372997712",moins que la moyenne,"0,009237875289",stable,433,397,451,432,399,437,45.1679495633259,1.53385310681551
190000026,2018,CORRÈZE,TULLE,CENTRE HOSPITALIER COEUR DE CORREZE,Centres Hospitaliers,132,64,8,"0,4848484848",moins que la moyenne,"0,06060606061",moins que la moyenne,"-0,08333333333",en baisse,144,136,116,142,120,132,45.2706395892459,1.76937664970768
210987699,2018,CÔTE-D'OR,SEMUR EN AUXOIS,CENTRE HOSPITALIER ROBERT MORLEVAT,Centres Hospitaliers,56,31,2,"0,5535714286",moins que la moyenne,"0,03571428571",moins que la moyenne,"-0,09677419355",en baisse,62,60,49,69,77,56,47.494678051342,4.34790147113923
210987558,2018,CÔTE-D'OR,DIJON,HOPITAL LE BOCAGE CHRU DIJON,Centres Hospitaliers Régionaux,816,89,136,"0,1090686275",moins que la moyenne,"0,1666666667",plus que la moyenne,"-0,1920792079",en baisse,1010,1098,890,755,781,816,47.3220533894807,5.06528300856506
210987657,2018,CÔTE-D'OR,BEAUNE,HOSPICES CIVILS DE BEAUNE,Centres Hospitaliers,16,8,2,"0,5",moins que la moyenne,"0,125",plus que la moyenne,"-0,8823529412",en forte baisse,136,170,148,132,125,16,47.0318635850632,4.83439104325861
210987665,2018,CÔTE-D'OR,CHATILLON SUR SEINE,CH HCO SITE DE CHATILLON SUR SEINE,Centres Hospitaliers,19,19,1,1,plus de 95%,"0,05263157895",moins que la moyenne,"2,8",en hausse,5,10,18,18,20,19,47.8618576110667,4.55960367218025
220000012,2018,CÔTES-D'ARMOR,ST BRIEUC,CENTRE HOSPITALIER YVES LE FOLL,Centres Hospitaliers,593,450,35,"0,7588532884",plus que la moyenne,"0,05902192243",moins que la moyenne,"0,2431865828",en hausse,477,482,498,547,540,593,48.4916986924137,-2.74962626010197
220000095,2018,CÔTES-D'ARMOR,DINAN,CTRE HOSPITALIER DINAN,Centres Hospitaliers,154,103,3,"0,6688311688",plus que la moyenne,"0,01948051948",moins que la moyenne,"-0,3815261044",en baisse,249,241,202,170,191,154,48.4487556610083,-2.04706322377449
220022800,2018,CÔTES-D'ARMOR,PLERIN,HOPITAL PRIVÉ DES COTES D'ARMOR,Etablissements de Soins de Courte Durée,43,27,2,"0,6279069767",plus que la moyenne,"0,04651162791",moins que la moyenne,,nouvel établissement,,,,91,78,43,48.5482572627362,-2.78984716390002
220000368,2018,CÔTES-D'ARMOR,LANNION,CENTRE HOSPITALIER LANNION,Centres Hospitaliers,175,141,5,"0,8057142857",plus que la moyenne,"0,02857142857",moins que la moyenne,"-0,2553191489",en baisse,235,241,207,197,211,175,48.7243920692997,-3.46257398991192
220000343,2018,CÔTES-D'ARMOR,GUINGAMP,CENTRE HOSPITALIER GUINGAMP,Centres Hospitaliers,176,156,4,"0,8863636364",plus que la moyenne,"0,02272727273",moins que la moyenne,"-0,2605042017",en baisse,238,239,174,151,209,176,48.5613958223785,-3.14833589134288
