Nom,Structure,Methodes Pratiquees,Horaires,Lien,Adresse,Ville,Dép.,Rég.
Dr Corinne REBELLE,Cabinet médical,IVG médicamenteuse,04 72 10 65 20 ,https://www.ivglesadresses.org/centre_davortement/dr-corinne-rebelle/,65 Cours Vitton,"69006, LYON",69,84
Centre de PMI et de Planification de Fontenay-le-Fleury,Centre de Planification et d’Education Familiale (ne pratique pas d'IVG),,01 34 60 34 36 ,https://www.ivglesadresses.org/centre_davortement/centre-de-pmi-de-fontenay-le-fleury/,1 avenue Jean Lurcat,"78330, FONTENAY-LE-FLEURY",78,11
Dr Hélène CAMUS-LIEUX,Cabinet médical,IVG médicamenteuse,04 77 32 10 24 ,https://www.ivglesadresses.org/centre_davortement/dr-helene-camus-lieux/,6 Rue des Mutilés du Travail,"42000, SAINT-ETIENNE",42,84
Centre de PMI et de Planification,Centre de Planification et d’Education Familiale (ne pratique pas d'IVG) - Centre de PMI,,01 48 33 96 45 ,https://www.ivglesadresses.org/centre_davortement/centre-pmi/,11 rue Gaëtan Lamy,"93300, AUBERVILLIERS",93,11
CENTRE HOSPITALIER JOSEPH IMBERT – HÔPITAL D’ARLES,,IVG chirurgicale (anesthésie générale) - IVG médicamenteuse,04 90 49 29 34 Standard: 04 90 49 29 49,https://www.ivglesadresses.org/centre_davortement/centre-hospitalier-joseph-imbert-hopital-darles/,Quartier Haut de Fourchon,"13200, ARLES",13,93
Dr Loïc ARMSTRONG,Cabinet médical,IVG médicamenteuse,01 60 84 80 27 ,https://www.ivglesadresses.org/centre_davortement/dr-loic-armstrong/,21 rue d'Estienne d'Orves,"91220, BRETIGNY-SUR-ORGE",91,11
Dr Abdelhak HAROUNI,Cabinet médical,IVG médicamenteuse,04 74 43 23 41 ,https://www.ivglesadresses.org/centre_davortement/dr-abdelhak-harouni/,3 rue des Castors,"38300, BOURGOIN-JALLIEU",38,84
Dr Michèle GUEDJ-SAAL,Cabinet médical,IVG médicamenteuse,01 43 83 19 77 ,https://www.ivglesadresses.org/centre_davortement/dr-michele-guedj-saal/,23 Avenue Jean-Jacques Rousseau,"93190, LIVRY-GARGAN",93,11
CENTRE DE PLANIFICATION,Centre de Planification et d'Education Familiale,,02 33 64 56 36 ,https://www.ivglesadresses.org/centre_davortement/centre-de-planification-25/,"5A, rue Joseph Morin","61100, Flers",61,28
Centre de PMI et de Planification des Courtillières,Centre de Planification et d’Education Familiale (ne pratique pas d'IVG),,Ouvert du lundi au vendredi;De 8h30 à 17h30;01 48 37 59 34 Consultations sur rendez-vous;Sage-femme;Mercredi de 9h à 13h;Jeudi de 9h à 13h;Visites à domicile sur rendez-vous;Conseillère conjugale;Vendredi de 13h30 à 17h;Psychologue;Lundi et mardi de 9h à 12h,https://www.ivglesadresses.org/centre_davortement/centre-de-pmi-des-courtillieres/,Parc des Courtillières,"93500, PANTIN",93,11
Dr Elisabeth SPAHN,Cabinet médical,IVG médicamenteuse,01 44 18 75 70 ,https://www.ivglesadresses.org/centre_davortement/dr-elisabeth-spahn/,150 rue de l'Université,"75007, PARIS",75,11
Centre Hospitalier de Montélimar,Hôpital,IVG chirurgicale (anesthésie générale) - IVG médicamenteuse,Accueil;Du lundi au vendredi de 9h à 16h;04 75 53 43 22 / centredeplanification@ch-montelimar.fr ,https://www.ivglesadresses.org/centre_davortement/centre-hospitalier-de-montelimar/,3 Rue des Adhémar,"26210, MONTELIMAR",26,84
Dr Florence BOLOT MOULIN,Cabinet médical,IVG médicamenteuse,01 41 52 19 19 ,https://www.ivglesadresses.org/centre_davortement/dr-florence-bolot-moulin/,ZI Joliot Curie - 2 Rue Salvador Allende,"93270, SEVRAN",93,11
Dr Laurence CARRIE,Cabinet médical,IVG médicamenteuse,Secrétariat;Du lundi au vendredi de 8h30 à 12h et de 14h à 17h;Le samedi de 8h30 à 12h;01 60 63 28 18 ,https://www.ivglesadresses.org/centre_davortement/dr-laurence-carrie/,6 allée Croix des Champs,"77176, SAVIGNY-LE-TEMPLE",77,11
Centre de PMI et de Planification du Centre,Centre de Planification et d’Education Familiale (ne pratique pas d'IVG),,Ouvert;Du lundi au vendredi de 9h à 17h;01 43 32 92 47 ,https://www.ivglesadresses.org/centre_davortement/centre-pmi-du-centre/,"64, rue Henri Barbusse","93370, MONTFERMEIL",93,11
Dr Odile WALA DE SAINT JORES,Cabinet médical,IVG médicamenteuse,02 33 60 35 55 ,https://www.ivglesadresses.org/centre_davortement/dr-odile-wala-de-saint-jores/,Odile WALA DE SAINT JORES,13 Rue Saint-Pierre,13,93
Dr Vincent Thiebault,Cabinet médical,IVG médicamenteuse,02 32 55 88 40 ,https://www.ivglesadresses.org/centre_davortement/dr-vincent-thiebault/,3 bis rue Turgot,"27150, Etrepagny",27,28
Dr Aleth BACQUET LEFEBVRE,Cabinet médical,IVG médicamenteuse,01 40 71 01 91 ,https://www.ivglesadresses.org/centre_davortement/dr-aleth-bacquet-lefebvre/,SCM - 26 rue Boileau,"75016, PARIS",75,11
Dr Jean-Philippe BOULANGER,Cabinet médical,IVG médicamenteuse,04 93 35 30 30 ,https://www.ivglesadresses.org/centre_davortement/dr-jean-philippe-boulanger/,8 rue Isola,"06500, MENTON",06,93
Dr Dominique PLATEAUX,Cabinet médical,IVG médicamenteuse,01 43 79 87 17 ,https://www.ivglesadresses.org/centre_davortement/dr-dominique-plateaux/,5 Place Léon Blum,"75011, PARIS",75,11
Dr Laurence PECQUEUX,Cabinet médical,IVG médicamenteuse,01 43 09 89 09 ,https://www.ivglesadresses.org/centre_davortement/dr-laurence-pecqueux/,31 Avenue Georges Clémenceau,"93360, NEUILLY-PLAISANCE",93,11
Dr Gérard MARZOUK,Cabinet médical,IVG médicamenteuse,01 42 68 07 36 ,https://www.ivglesadresses.org/centre_davortement/dr-gerard-marzouk/,43 Boulevard Malesherbes,"75008, PARIS",75,11
Dr Annie KERGOURLAY,Cabinet médical,IVG médicamenteuse,Prise de RDV le lundi ou le mercredi de 18h30 à 20h;01 69 88 88 10 ,https://www.ivglesadresses.org/centre_davortement/dr-annie-kergourlay/,27 rue du Général Leclerc,"91220, BRETIGNY-SUR-ORGE",91,11
Centre de PMI et de Planification Saint Stenay,Centre de Planification et d'Education Familiale - Centre de PMI,IVG médicamenteuse,01 71 29 57 55 ,https://www.ivglesadresses.org/centre_davortement/centre-pmi-drancy-2/,"100, Rue Saint-Stenay","93700, DRANCY",93,11
Centre de PMI et de Planification Bauer,Centre de Planification et d'Education Familiale,IVG médicamenteuse,Ouvert;Du lundi au vendredi;De 8h30 à 12h30 et de 13h30 à 17h30;01 49 45 69 52 ,https://www.ivglesadresses.org/centre_davortement/centre-pmi-bauer/,"147, rue du Docteur Bauer","93400, SAINT-OUEN",93,11
Dr Kalliopi-Pinelopi GIOVANETTO-KATSIARDANI,Cabinet médical,IVG médicamenteuse,Congés été 2015;Du 14 au 23 août inclus;09 54 23 21 89 ,https://www.ivglesadresses.org/centre_davortement/dr-kalliopi-pinelopi-giovanetto-katsiardani/,12 rue Berthelot,"95410, GROSLAY",95,11
Le Planning Familial 35,Centre de Planification et d'Education Familiale,IVG médicamenteuse,Lundi au jeudi: 9h-12h / 14h-18h;Vendredi: 9h-12h /14h-17h;02 99 31 54 22 ,https://www.ivglesadresses.org/centre_davortement/le-planning-familial-35/,11 Boulevard Maréchal De Lattre de Tassigny,"35000, RENNES",35,53
Centre de Planification et d’Education Familiale Alfortville,Centre de Planification et d’Education Familiale (ne pratique pas d'IVG),,Accueil;Du lundi au vendredi;De 8h30 à 12h30 et de 13h30 à 17h;01 43 76 84 69 ,https://www.ivglesadresses.org/centre_davortement/centre-de-planification-familiale-alfortville/,"23, rue Micolon","94140, ALFORTVILLE",94,11
Centre Hospitalier de MONTAUBAN,Centre de Planification et d'Education Familiale,IVG chirurgicale (anesthésie générale) - IVG médicamenteuse,"05 63 92 81 90 Consultations: lundi, mercredi, vendredi;De 13h30 à 16h30",https://www.ivglesadresses.org/centre_davortement/centre-hospitalier-de-montauban/,Rue Léon Cladel,"82000, MONTAUBAN",82,76
CENTRE HOSPITALIER EDMON GARCIN – HÔPITAL D’AUBAGNE,,IVG chirurgicale (anesthésie générale) - IVG chirurgicale (anesthésie locale) - IVG médicamenteuse,04 42 84 70 86 Standard: 04 42 84 70 00,https://www.ivglesadresses.org/centre_davortement/centre-hospitalier-edmon-garcin-hopital-daubagne/,"179, avenue des sœurs Gastine","13400, AUBAGNE",13,93
Centre de PMI et de Planification de Savigny-sur-Orge Prés St-Martin,Centre de Planification et d'Education Familiale,IVG médicamenteuse,Accueil;Présence de la secrétaire du lundi au vendredi de 9h00 à 12h et de 14h00 à 16h00 pour réorienter;01 69 05 74 14 ,https://www.ivglesadresses.org/centre_davortement/centre-de-savigny-sur-orge-pres-st-martin/,28 rue des Prés St Martin,"91600, SAVIGNY-SUR-ORGE",91,11
Groupe Hospitalier Sud Ardennes (Rethel),Hôpital,IVG chirurgicale (anesthésie générale) - IVG médicamenteuse,03 24 38 66 50 ,https://www.ivglesadresses.org/centre_davortement/groupe-hospitalier-sud-ardennes-rethel/,"1, Place Hourtoule","08300, Rethel",08,44
Dr Caroline DAUCHEZ,Cabinet médical,IVG médicamenteuse,01 48 34 15 60 ,https://www.ivglesadresses.org/centre_davortement/dr-caroline-dauchez/,3 rue Edgard Quinet,"93300, AUBERVILLIERS",93,11
Dr Christine LOUIS-VAHDAT,Cabinet médical,IVG médicamenteuse,01 44 07 08 13 ,https://www.ivglesadresses.org/centre_davortement/dr-christine-louis-vahdat/,126 boulevard St Germain,"75006, PARIS",75,11
Centre Hospitalier Saint-Nazaire – Site d’Heinlex,Centre de Planification et d'Education Familiale,IVG chirurgicale (anesthésie générale) - IVG chirurgicale (anesthésie locale) - IVG médicamenteuse,"Secrétariat;Du lundi au vendredi - De 9h à 17h;02 40 90 52 30 Le centre est ouvert;Lundi, Jeudi: de 9h à 18h30;Mardi, Mercredi, Vendredi: de 9h à 17h;Pendant les vacances scolaires, le centre est ouvert;Du lundi au vendredi: de 9h à 17h",https://www.ivglesadresses.org/centre_davortement/centre-hospitalier-saint-nazaire-site-dheinlex/,Bâtiment Prévention et Promotion de la Santé - Site d’Heinlex,57 rue Michel-Ange,57,44
Hôpital Européen Georges Pompidou – HEGP,Centre de Planification et d'Education Familiale - Hôpital,IVG chirurgicale (anesthésie générale),Secrétariat;Du lundi au vendredi;De 13h30 à 17h;01 56 09 30 32 Consultations IVG sur RDV;Lundi et jeudi;Standard 01 56 09 20 00,https://www.ivglesadresses.org/centre_davortement/hopital-europeen-georges-pompidou-hegp/,20 Rue Leblanc,"75015, PARIS",75,11
Centre de Santé Pierre-Rouquès,Centre de Santé,IVG médicamenteuse,01 86 93 32 00 ,https://www.ivglesadresses.org/centre_davortement/centre-de-sante-pierre-rouques/,43 Avenue Karl Marx,"94800, Villejuif",94,11
Centre de PMI et de Planification Montédour,Centre de Planification et d'Education Familiale,,Accueil;Du lundi au vendredi;De 9h à 12h et de 14h à 17h;01 34 33 57 26 Consultations sur RDV;Sage-femme: mardi matin;Médecin gynécologue: jeudi après-midi,https://www.ivglesadresses.org/centre_davortement/centre-de-planification-et-de-pmi-montedour/,"8 -10, rue de la Croix verte","95130, FRANCONVILLE",95,11
Dr Marie BENQUE,Cabinet médical,IVG médicamenteuse,Prise de RDV possible sur www.ipso.paris;01 84 20 20 20 ,https://www.ivglesadresses.org/centre_davortement/dr-marie-benque/,Cabinet médical IPSO - 323 rue Saint Martin,"75003, PARIS",75,11
Hôpital Port-Royal (Paris),Centre de Planification et d'Education Familiale - Hôpital,IVG chirurgicale (anesthésie générale) - IVG chirurgicale (anesthésie locale) - IVG médicamenteuse,Secrétariat;Du lundi au vendredi;De 9h à 12h30 et de 13h30 à 16h30;01 58 41 38 65 / 01 58 41 38 66 Consultations IVG sur RDV;Du lundi au vendredi,https://www.ivglesadresses.org/centre_davortement/hopital-port-royal/,53 Avenue de l' Observatoire,"75014, PARIS",75,11
Centre de PMI et de Planification du Chénay,Centre de Planification et d’Education Familiale (ne pratique pas d'IVG),,01 43 32 71 94 ,https://www.ivglesadresses.org/centre_davortement/centre-pmi-du-chenay/,19 rue du 18 Juin,"93220, GAGNY",93,11
Hôpital Marie-Madeleine,Hôpital,IVG chirurgicale (anesthésie générale) - IVG chirurgicale (anesthésie locale) - IVG médicamenteuse,03.87.88.80.00 ,https://www.ivglesadresses.org/centre_davortement/hopital-marie-madeleine/,"2, rue Thérèse","57600, FORBACH",57,44
Elodie Edmont,Cabinet sage-femme,IVG médicamenteuse,01 41 37 58 88 ,https://www.ivglesadresses.org/centre_davortement/elodie-edmont/,18 Rue Maurice Thorez (CDS MAURICE THOREZ),"92000, Nanterre",92,11
Dr Riad MIMARI,Cabinet médical,IVG médicamenteuse,04 91 37 02 69 ,https://www.ivglesadresses.org/centre_davortement/dr-riad-mimari/,"2, rue Louis Maurel","13006, MARSEILLE",13,93
Dr Jean-Jacques PEYRE,Cabinet médical,IVG médicamenteuse,02 97 24 71 09 ,https://www.ivglesadresses.org/centre_davortement/dr-jean-jacques-peyre-2/,3 rue Ler Paris,"56330, PLUVIGNER",56,53
Centre de Planification et d’Education Familiale Saint-Maur,Centre de Planification et d’Education Familiale (ne pratique pas d'IVG),,01 48 83 48 42 ,https://www.ivglesadresses.org/centre_davortement/centre-de-planification-familiale-saint-maur/,"104, boulevard de la Marne","94210, LA-VARENNE-SAINT-HILAIRE",94,11
Dr Pascale ROBLIN,Cabinet médical,IVG médicamenteuse,04 91 63 18 89 ,https://www.ivglesadresses.org/centre_davortement/dr-pascale-roblin/,53 Boulevard Chave,"13005, MARSEILLE",13,93
Hôpital Arnaud de Villeneuve – CHRU Montpellier,Hôpital,IVG chirurgicale (anesthésie générale) - IVG chirurgicale (anesthésie locale) - IVG médicamenteuse,Du lundi au vendredi de 9h à 16h;04 67 33 64 43 www.chu-montpellier.fr/fr/ivg;04 67 33 67 33,https://www.ivglesadresses.org/centre_davortement/hopital-arnaud-de-villeneuve-chru-montpellier/,Accueil décentralisé de l'Orthogénie - Niveau 0 - Aile gauche,191 Avenue du Doyen Gaston Giraud,19,75
Aude Kouawa Tagne,Cabinet sage-femme,IVG médicamenteuse,07 69 24 76 67 ,https://www.ivglesadresses.org/centre_davortement/aude-kouawa-tagne/,19 rue de la Marèche,"95180, MENUCOURT",95,11
Dr Brigitte PILARD,Cabinet médical,IVG médicamenteuse,05 61 59 59 07 Bus n° 12: Station ROC,https://www.ivglesadresses.org/centre_davortement/dr-brigitte-pilard/,2 rue Roc,"31300, TOULOUSE",31,76
Dr Marie-Odile GUILHEMSANS-VENDE,Cabinet médical,IVG médicamenteuse,01 43 41 17 29 ,https://www.ivglesadresses.org/centre_davortement/dr-marie-odile-guilhemsans-vende/,22 BOULEVARD DE REUILLY,"75012, PARIS",75,11
Hélène Bastien,Cabinet sage-femme,IVG médicamenteuse,06 11 47 42 22 ,https://www.ivglesadresses.org/centre_davortement/helene-bastien/,42 Rue Neuve,"59242, Templeuve",59,32
Dr Patrick CERF,Cabinet médical,IVG médicamenteuse,07 68 72 43 72 ,https://www.ivglesadresses.org/centre_davortement/dr-patrick-cerf/,25 Avenue Bosquet,"75007, PARIS",75,11
Centre de PMI et de Planification La Muette,Centre de Planification et d’Education Familiale (ne pratique pas d'IVG),,Accueil;Du lundi au vendredi de 8h30 à 17h30;01 41 60 80 90 ,https://www.ivglesadresses.org/centre_davortement/centre-pmi-la-muette/,Cité de la Muette,"93700, DRANCY",93,11
Dr Mireille BONNEAU,Cabinet médical,IVG médicamenteuse,01 41 55 19 20 ,https://www.ivglesadresses.org/centre_davortement/dr-mireille-bonneau/,2 Boulevard Roy,"93320, LES PAVILLONS SOUS BOIS",93,11
CENTRE HOSPITALIER GENERAL LA CIOTAT,,IVG chirurgicale (anesthésie générale) - IVG médicamenteuse,"04 42 08 76 03 Standard, 04 42 08 76 00",https://www.ivglesadresses.org/centre_davortement/centre-hospitalier-general-la-ciotat/,Boulevard Lamartine,"13708, LA CIOTAT",13,93
Dr Marguerite Anderson,Cabinet médical,IVG médicamenteuse,01 45 87 08 88 ,https://www.ivglesadresses.org/centre_davortement/dr-marguerite-anderson/,150 Boulevard du Montparnasse,"75014, Paris",75,11
Centre Hospitalier Langres,Hôpital,IVG chirurgicale (anesthésie générale) - IVG médicamenteuse,03 25 87 89 36 ,https://www.ivglesadresses.org/centre_davortement/centre-hospitalier-langres/,10 rue de la Charité,"52200, Langres",52,44
Centre Hospitalier Intercommunal de Créteil,Centre de Planification et d'Education Familiale,IVG chirurgicale (anesthésie générale) - IVG médicamenteuse,Secrétariat;Du lundi au vendredi;De 9h à 16h30;01 45 17 55 47 / 01 45 17 55 40 Consultations IVG sur RDV;Du lundi au vendredi;Standard 01 45 17 50 00,https://www.ivglesadresses.org/centre_davortement/centre-hospitalier-intercommunal-creteil/,40 avenue de Verdun,"94000 , CRETEIL",94,11
Dr Eric CHABAUD,Cabinet médical,IVG médicamenteuse,01 64 98 04 04 ,https://www.ivglesadresses.org/centre_davortement/dr-eric-chabaud/,6 Grande Rue,"91840, SOISY-SUR-ECOLE",91,11
Centre de PMI et de Planification Orgemont,Centre de Planification et d’Education Familiale (ne pratique pas d'IVG),,01 48 41 52 74 ,https://www.ivglesadresses.org/centre_davortement/centre-pmi-orgemont/,120 rue d’Orgemont,"93800, EPINAY-SUR-SEINE",93,11
Dr René BERGER,Cabinet médical,IVG médicamenteuse,04 42 26 18 70 ,https://www.ivglesadresses.org/centre_davortement/dr-rene-berger-3/,10 Boulevard du Roi René,"13100, AIX-EN-PROVENCE",13,93
Dr Stéphanie DENOIX,Cabinet médical,IVG médicamenteuse,09 67 27 43 85 ,https://www.ivglesadresses.org/centre_davortement/dr-stephanie-denoix/,13 ter rue Condorcet,"84160, CADENET",84,93
CENTRE DE PLANIFICATION,Centre de Planification et d'Education Familiale,,02 33 21 74 00 ,https://www.ivglesadresses.org/centre_davortement/centre-de-planification-20/,"27 Bis, rue du Grand Moulin","50700, valognes",50,28
CENTRE DE PLANIFICATION,Centre de Planification et d'Education Familiale,,02 33 64 56 36 ,https://www.ivglesadresses.org/centre_davortement/centre-de-planification-25/,"5A, rue Joseph Morin","61100, Flers",61,28
Dr Joke PEETERS,Cabinet médical,IVG médicamenteuse,01 64 77 65 01 ,https://www.ivglesadresses.org/centre_davortement/dr-peeters-joke/,5/7 Rue de Carre,"77290, COMPANS",77,11
Hôpital d’instruction des armées Bégin,,IVG chirurgicale (anesthésie générale) - IVG chirurgicale (anesthésie locale) - IVG médicamenteuse,Secrétariat;Du lundi au vendredi;De 8h à 17h30;01 43 98 47 36 Consultations IVG sur RDV;01 43 98 50 00,https://www.ivglesadresses.org/centre_davortement/hopital-dinstruction-des-armees-begin/,"69, avenue de Paris","94163, SAINT-MANDE",94,11
CPEF Agathe,Centre de Planification et d'Education Familiale,IVG médicamenteuse,Ouvert;Lundi de 8h30 à 13h;Mardi de de 13h à 15h;Mercredi de 12h à 17h;Jeudi de 12h à 19h;Vendredi de 8h30 à 17h;04 76 97 81 00 Consultations pour IVG médicamenteuse;Lundi de 8h30 à 13h et de 16h à 18h;Jeudi de 16h à 19h;Vendredi de 8h30 à 14h30,https://www.ivglesadresses.org/centre_davortement/cpef-agathe/,33 avenue de la Gare,"38530, PONTCHARRA",38,84
Dr Jean-Marc PARIENTE,Cabinet médical,IVG médicamenteuse,05 63 30 50 55 ,https://www.ivglesadresses.org/centre_davortement/dr-jean-marc-pariente/,Cabinet Médical La Bruyère - 374 Rue VIctor Hugo,"82370, LABASTIDE- SAINT-PIERRE",82,76
Centre de PMI et de Planification de Marly-le-Roi,Centre de Planification et d’Education Familiale (ne pratique pas d'IVG),,01 39 58 80 92 ,https://www.ivglesadresses.org/centre_davortement/centre-de-pmi-de-marly-le-roi/,5 avenue de l’Amiral Lemonnier,"78160, MARLY-LE-ROI",78,11
CPEF – Maison départementale de la solidarité,Centre de Planification et d'Education Familiale,IVG médicamenteuse,"Accueil du lundi au vendredi;De 9h à 12h et de 14h à 17h;04 13 31 84 13 Consultation gynécologique sur RDV;Lundi, mercredi après-midi (adolescentes), vendredi après-midi 2ème et 4ème du mois;Mardi, vendredi matin 1er, 3ème et 5ème du mois",https://www.ivglesadresses.org/centre_davortement/cpef-maison-departementale-de-la-solidarite/,Rue Calmette et Guérin,"13100, AIX-EN-PROVENCE",13,93
Dr Christel ODDOU,Cabinet médical,IVG médicamenteuse,04 50 22 11 21 ,https://www.ivglesadresses.org/centre_davortement/dr-christel-oddou/,221 Rue de la République,"74330, EPAGNY",74,84
CHI Eure Seine – Hôpital d’Evreux,Hôpital,IVG chirurgicale (anesthésie générale) - IVG médicamenteuse,Secrétariat;Du lundi au vendredi de 9h à 17h;02 32 33 80 87 ou 02 32 33 84 99 Standard 02 32 33 80 00,https://www.ivglesadresses.org/centre_davortement/chi-eure-seine-hopital-devreux/,Rue Léon Schwartzenberg,"27015, Evreux",27,28
Dr Philippe DENOYELLE,Cabinet médical,IVG médicamenteuse,01 47 97 25 19 ,https://www.ivglesadresses.org/centre_davortement/dr-philippe-denoyelle/,10 rue du Jourdain,"75020, PARIS",75,11
Centre périnatal de Proximit,Centre Périnatal de Proximité (CPP),IVG médicamenteuse,Lun/ven:9h-19h;02-33-47-43-08 02-33-47-43-00,https://www.ivglesadresses.org/centre_davortement/centre-perinatal-de-proximit/,3 bis rue de la Croute,"50200, Coutances",50,28
Centre Municipal de Santé Henri-Barbusse,Centre de Planification et d'Education Familiale - Centre de Santé,IVG médicamenteuse,Accueil;Du lundi au vendredi de 8h30 à 12h et de 14h à 19h;Le samedi de 8h30 à 12h;01 46 44 07 38 Consultations avec conseillère conjugale et psychologue sur rendez-vous,https://www.ivglesadresses.org/centre_davortement/centre-municipal-de-sante-barbusse/,Rond-point Henri-Barbusse - 74 rue Jules-Guesde,"92240, MALAKOFF",92,11
Dr Nadège Pierre-Louis,Cabinet médical,IVG chirurgicale (anesthésie locale) - IVG médicamenteuse,01 71 79 13 79 ,https://www.ivglesadresses.org/centre_davortement/dr-nadege-pierre-louis/,4 bis rue de la papeterie,"95610, Éragny",95,11
Centre de PMI et de Planification,Centre de Planification et d’Education Familiale (ne pratique pas d'IVG),,01 45 28 10 29 ,https://www.ivglesadresses.org/centre_davortement/centre-pmi-7/,"1 bis, rue Saint Louis","93250, VILLEMOMBLE",93,11
Dr Véronique CAÊR-LATOURNERIE,Cabinet médical,IVG médicamenteuse,01 48 98 18 88 ,https://www.ivglesadresses.org/centre_davortement/dr-veronique-caer-latournerie/,25 rue des Mèches,"94000, CRETEIL",94,11
CMCO Schiltigheim,Hôpital,IVG chirurgicale (anesthésie locale) - IVG médicamenteuse,03 69 55 34 08 ,https://www.ivglesadresses.org/centre_davortement/cmco-schiltigheim/,CMCO,"67300, Schiltigheim",67,44
Dr Martine HATCHUEL,Cabinet médical,IVG médicamenteuse,Secrétariat;Du lundi au vendredi de 10h à 13h et de 15h à 18h sauf mercredi de 15h à 17h;01 43 38 00 40 ,https://www.ivglesadresses.org/centre_davortement/dr-martine-hatchuel/,15 Boulevard Richard Lenoir,"75011, PARIS",75,11
Centre de Planification et d’Education Familiale Epinal,Centre de Planification et d'Education Familiale,IVG médicamenteuse,"Lundi AM, Mercredi AM;03.29.68.43.54 ",https://www.ivglesadresses.org/centre_davortement/centre-de-planification-deducation-familiale-epinal/,"31, rue Thiers","88000, Epinal",88,44
Centre de PMI et de Planification,Centre de Planification et d’Education Familiale (ne pratique pas d'IVG) - Centre de PMI,,01 48 33 96 45 ,https://www.ivglesadresses.org/centre_davortement/centre-pmi/,11 rue Gaëtan Lamy,"93300, AUBERVILLIERS",93,11
Centre Hospitalier Louis Domergue – CHU de Martinique,,IVG chirurgicale (anesthésie générale) - IVG chirurgicale (anesthésie locale) - IVG médicamenteuse,Standard: 05 96 66 46 00 ,https://www.ivglesadresses.org/centre_davortement/centre-hospitalier-louis-domergue-chu-de-martinique/,Rue Jean-Eugène Fatier,"97220, TRINITE",972,02
Hôpital Européen Georges Pompidou – HEGP,Centre de Planification et d'Education Familiale - Hôpital,IVG chirurgicale (anesthésie générale),Secrétariat;Du lundi au vendredi;De 13h30 à 17h;01 56 09 30 32 Consultations IVG sur RDV;Lundi et jeudi;Standard 01 56 09 20 00,https://www.ivglesadresses.org/centre_davortement/hopital-europeen-georges-pompidou-hegp/,20 Rue Leblanc,"75015, PARIS",75,11
